Angles	Fields	Field before	Fields after	Frequency	Magnitude	Phase	Real	Imaginary
-2.80000000E+1	2.15000000E-2	2.32114608E-2	2.32326100E-2	2.43025920E+9	-8.43723731E+1	-2.78095382E+0	-5.65593990E-5	-2.13303801E-5
-2.80000000E+1	2.20000000E-2	2.37112735E-2	2.37300557E-2	2.43025920E+9	-8.43169523E+1	-2.77728713E+0	-5.68423380E-5	-2.16754837E-5
-2.80000000E+1	2.25000000E-2	2.42106355E-2	2.42248149E-2	2.43025920E+9	-8.43210826E+1	-2.78124183E+0	-5.69005499E-5	-2.14403228E-5
-2.80000000E+1	2.30000000E-2	2.47061063E-2	2.47263597E-2	2.43025920E+9	-8.43161045E+1	-2.77964590E+0	-5.68988608E-5	-2.15434478E-5
-2.80000000E+1	2.35000000E-2	2.51971460E-2	2.52192435E-2	2.43025920E+9	-8.43742102E+1	-2.77886938E+0	-5.65028623E-5	-2.14436928E-5
-2.80000000E+1	2.40000000E-2	2.57068903E-2	2.57194561E-2	2.43025920E+9	-8.43604019E+1	-2.78530933E+0	-5.67299000E-5	-2.11129122E-5
-2.80000000E+1	2.45000000E-2	2.61944481E-2	2.62137035E-2	2.43025920E+9	-8.43655727E+1	-2.78381942E+0	-5.66646378E-5	-2.11847961E-5
-2.80000000E+1	2.50000000E-2	2.66938577E-2	2.67112537E-2	2.43025920E+9	-8.43320770E+1	-2.78270070E+0	-5.68597509E-5	-2.13302728E-5
-2.80000000E+1	2.55000000E-2	2.71887336E-2	2.72089050E-2	2.43025920E+9	-8.43384309E+1	-2.77878297E+0	-5.67342306E-5	-2.15371090E-5
-2.80000000E+1	2.60000000E-2	2.76844917E-2	2.77042041E-2	2.43025920E+9	-8.43721281E+1	-2.78161512E+0	-5.65750886E-5	-2.12935737E-5
-2.80000000E+1	2.65000000E-2	2.81852549E-2	2.81993818E-2	2.43025920E+9	-8.43568474E+1	-2.78182642E+0	-5.66792117E-5	-2.13190911E-5
-2.80000000E+1	2.70000000E-2	2.86773189E-2	2.86943751E-2	2.43025920E+9	-8.43478532E+1	-2.78034356E+0	-5.67062250E-5	-2.14252896E-5
-2.80000000E+1	2.75000000E-2	2.91677014E-2	2.91913887E-2	2.43025920E+9	-8.43725339E+1	-2.77799466E+0	-5.64949855E-5	-2.14972568E-5
-2.80000000E+1	2.80000000E-2	2.96682975E-2	2.96857502E-2	2.43025920E+9	-8.43051211E+1	-2.78093409E+0	-5.69985955E-5	-2.14972998E-5
-2.80000000E+1	2.85000000E-2	3.01651852E-2	3.01822045E-2	2.43025920E+9	-8.43351256E+1	-2.77440271E+0	-5.66609061E-5	-2.17937039E-5
-2.80000000E+1	2.90000000E-2	3.06567488E-2	3.06761313E-2	2.43025920E+9	-8.43226069E+1	-2.77904330E+0	-5.68432991E-5	-2.15615838E-5
-2.80000000E+1	2.95000000E-2	3.11571558E-2	3.11741770E-2	2.43025920E+9	-8.43507302E+1	-2.78043329E+0	-5.66893671E-5	-2.14131073E-5
-2.80000000E+1	3.00000000E-2	3.16600564E-2	3.16765098E-2	2.43025920E+9	-8.43388030E+1	-2.77808432E+0	-5.67167400E-5	-2.15758170E-5
-2.80000000E+1	3.05000000E-2	3.21568770E-2	3.21708580E-2	2.43025920E+9	-8.43889608E+1	-2.77447993E+0	-5.63124804E-5	-2.16546959E-5
-2.80000000E+1	3.10000000E-2	3.26399117E-2	3.26652439E-2	2.43025920E+9	-8.43470078E+1	-2.77519167E+0	-5.66006007E-5	-2.17192620E-5
-2.80000000E+1	3.15000000E-2	3.31431518E-2	3.31598188E-2	2.43025920E+9	-8.43419757E+1	-2.77937627E+0	-5.67238446E-5	-2.14946708E-5
-2.80000000E+1	3.20000000E-2	3.36254090E-2	3.36451888E-2	2.43025920E+9	-8.43191447E+1	-2.77413899E+0	-5.67594909E-5	-2.18488079E-5
-2.80000000E+1	3.25000000E-2	3.41276544E-2	3.41405327E-2	2.43025920E+9	-8.42871655E+1	-2.78514874E+0	-5.72068293E-5	-2.13008685E-5
-2.80000000E+1	3.30000000E-2	3.46139789E-2	3.46340591E-2	2.43025920E+9	-8.43491289E+1	-2.78089188E+0	-5.67096351E-5	-2.13910512E-5
-2.80000000E+1	3.35000000E-2	3.51099931E-2	3.51295770E-2	2.43025920E+9	-8.43199080E+1	-2.77944571E+0	-5.68696384E-5	-2.15454016E-5
-2.80000000E+1	3.40000000E-2	3.56078666E-2	3.56225256E-2	2.43025920E+9	-8.43525560E+1	-2.77450982E+0	-5.65496454E-5	-2.17439567E-5
-2.80000000E+1	3.45000000E-2	3.60905095E-2	3.61156773E-2	2.43025920E+9	-8.42692173E+1	-2.77953679E+0	-5.72044729E-5	-2.16662974E-5
-2.80000000E+1	3.50000000E-2	3.65988785E-2	3.66118623E-2	2.43025920E+9	-8.43798606E+1	-2.77504158E+0	-5.63836755E-5	-2.16457311E-5
-2.80000000E+1	3.55000000E-2	3.70872345E-2	3.71032460E-2	2.43025920E+9	-8.42945776E+1	-2.77782237E+0	-5.70005751E-5	-2.17008851E-5
-2.80000000E+1	3.60000000E-2	3.75734586E-2	3.75979110E-2	2.43025920E+9	-8.43234129E+1	-2.77784055E+0	-5.68120525E-5	-2.16279293E-5
-2.80000000E+1	3.65000000E-2	3.80783957E-2	3.80907846E-2	2.43025920E+9	-8.43326500E+1	-2.77430148E+0	-5.66748504E-5	-2.18056535E-5
-2.80000000E+1	3.70000000E-2	3.85586589E-2	3.85835286E-2	2.43025920E+9	-8.43068149E+1	-2.78080483E+0	-5.69847031E-5	-2.15004741E-5
-2.80000000E+1	3.75000000E-2	3.90587657E-2	3.90746397E-2	2.43025920E+9	-8.43018942E+1	-2.77687846E+0	-5.69320887E-5	-2.17363617E-5
-2.80000000E+1	3.80000000E-2	3.95514723E-2	3.95657543E-2	2.43025920E+9	-8.43179369E+1	-2.77241277E+0	-5.67295784E-5	-2.19498069E-5
-2.80000000E+1	3.85000000E-2	4.00314845E-2	4.00562544E-2	2.43025920E+9	-8.43164658E+1	-2.77044501E+0	-5.66958779E-5	-2.20651309E-5
-2.80000000E+1	3.90000000E-2	4.05326494E-2	4.05509692E-2	2.43025920E+9	-8.43460701E+1	-2.77036521E+0	-5.65012142E-5	-2.19945631E-5
-2.80000000E+1	3.95000000E-2	4.10341942E-2	4.10482517E-2	2.43025920E+9	-8.43012374E+1	-2.78031675E+0	-5.70107993E-5	-2.15421134E-5
-2.80000000E+1	4.00000000E-2	4.15168942E-2	4.15356814E-2	2.43025920E+9	-8.43459912E+1	-2.77685768E+0	-5.66433359E-5	-2.16274660E-5
-2.80000000E+1	4.05000000E-2	4.20166157E-2	4.20310234E-2	2.43025920E+9	-8.42975845E+1	-2.77644505E+0	-5.69509132E-5	-2.17718341E-5
-2.80000000E+1	4.10000000E-2	4.24984156E-2	4.25180533E-2	2.43025920E+9	-8.43178356E+1	-2.77742526E+0	-5.68395510E-5	-2.16654281E-5
-2.80000000E+1	4.15000000E-2	4.29957977E-2	4.30139732E-2	2.43025920E+9	-8.43342428E+1	-2.77813826E+0	-5.67476899E-5	-2.15840864E-5
-2.80000000E+1	4.20000000E-2	4.34923322E-2	4.35062793E-2	2.43025920E+9	-8.43189829E+1	-2.78001495E+0	-5.68879526E-5	-2.15153166E-5
-2.80000000E+1	4.25000000E-2	4.39740849E-2	4.39937157E-2	2.43025920E+9	-8.43240946E+1	-2.77541723E+0	-5.67550199E-5	-2.17638313E-5
